,node,x,y
66,BRW_LNODEXF1_33,"[-13676024.68440849, -13675984.609391803, -13676059.193450635, -13676136.003899284, -13676024.68440849]","[6198163.500862566, 6198023.936353257, 6197865.878106609, 6198150.048761996, 6198163.500862566]"
67,BRW_LNODEXF1_34,"[-13675076.242346931, -13675253.240337292, -13675533.76545409, -13675082.921516376, -13674796.830425039, -13675087.374296008, -13675076.242346931]","[6196063.549100313, 6196076.997903411, 6196872.196159059, 6197583.398338941, 6197045.367575422, 6196505.689635818, 6196063.549100313]"
68,BRW_LNODEXF1_35,"[-13683952.858542785, -13684297.948964246, -13684246.741998479, -13683951.745347878, -13683713.52163758, -13683952.858542785]","[6199707.270646227, 6199719.0433872845, 6200615.501371258, 6200548.221696401, 6200114.280575534, 6199707.270646227]"
69,BRW_LNODEXF1_36,"[-13669961.111744978, -13669198.573233046, -13668528.429898469, -13667380.72594839, -13666840.826418044, -13666748.431240685, -13667008.91884914, -13668649.768143434, -13669238.64824973, -13669355.533715064, -13669906.565194491, -13670094.695133932, -13670487.65293643, -13670337.37162386, -13671082.099017268, -13672451.328754025, -13671781.18541945, -13672289.915492373, -13672690.66565923, -13673052.454004308, -13673291.790909514, -13673200.508927062, -13673501.071552204, -13673085.849851545, -13673242.810333565, -13672736.306650454, -13672046.125807535, -13671577.470751297, -13671166.70183027, -13669961.111744978]","[6204495.074448417, 6204094.585616974, 6203283.569359078, 6201419.534655811, 6200936.7691544555, 6200085.688333138, 6199106.882449875, 6197398.446427488, 6197163.058898572, 6196734.334055423, 6196909.18393267, 6196372.876947529, 6196203.0814657165, 6195845.009028479, 6195713.887678614, 6198173.589951967, 6199271.690677653, 6199621.498310195, 6199301.961923625, 6199651.770800657, 6200803.887291292, 6201946.06624303, 6202575.255350054, 6203069.891224494, 6203825.360027451, 6204421.033075444, 6204478.246807039, 6205198.499641921, 6205274.230703513, 6204495.074448417]"
70,BRW_LNODEXF1_37,"[-13658549.75074376, -13658195.754763037, -13658457.355566401, -13657943.059518937, -13658430.63888861, -13658575.354226641, -13658844.747394362, -13658736.767488293, -13657484.423216868, -13656448.038757583, -13655684.387050742, -13655469.540433511, -13655372.69247652, -13655598.671042832, -13655662.123152582, -13656240.984504707, -13657397.594014052, -13658481.845854377, -13658454.01598168, -13657683.685105389, -13656902.22228002, -13656874.392407322, -13657107.05014308, -13658882.596021233, -13660775.02736472, -13661369.473445555, -13661327.172039052, -13661570.96172389, -13660979.855227778, -13661654.451341985, -13662277.840490427, -13662867.83379163, -13663255.22561959, -13663090.472773217, -13663397.714567808, -13662251.123812636, -13662201.03004178, -13661540.905461375, -13661710.11108738, -13660506.747391906, -13660151.638216276, -13660122.69514867, -13658722.29595449, -13658549.75074376]","[6206730.081089497, 6206565.128294629, 6206199.887064057, 6205519.940569058, 6205494.696077574, 6205832.978489451, 6205604.089415221, 6205378.572381921, 6203899.396215062, 6203367.696081579, 6201971.300204501, 6202095.788843218, 6201542.333038654, 6201927.561385528, 6201247.956322291, 6201570.930176785, 6200216.877059857, 6199525.636134264, 6199125.381173543, 6199587.862336001, 6199227.965734687, 6198560.347396128, 6197879.329758012, 6197759.9470949555, 6197105.894338342, 6197237.037134708, 6198427.502639935, 6199017.75279949, 6200886.307443022, 6201461.5886969445, 6201419.534655811, 6201954.477555186, 6202799.015635321, 6204012.134374893, 6204739.078989681, 6205306.206243129, 6206580.27688725, 6206893.353843649, 6207711.448046718, 6208704.713471699, 6208708.080670487, 6208426.924164593, 6207191.292619364, 6206730.081089497]"
71,BURLNGME_1_N001_1,"[-13618839.588765629, -13619159.197127257, -13619782.124193326, -13624117.977527255, -13622564.935413362, -13622029.16539921, -13621687.414562477, -13621520.435326284, -13621108.553210352, -13618839.588765629]","[4521954.934059376, 4519419.8653919585, 4518036.663807173, 4519958.70639325, 4523617.287398653, 4523332.253868963, 4522708.421302732, 4522869.995985087, 4521948.351301212, 4521954.934059376]"
72,BURLNGME_1_N001_2,"[-13622011.771116111, -13621684.444597483, -13621538.131911473, -13620481.824477186, -13620924.876050541, -13622011.771116111]","[4524920.714229977, 4525692.073702681, 4525778.777960286, 4525163.220739009, 4524366.436716565, 4524920.714229977]"
73,CABRILLO_1_N001_1,"[-13052958.704617295, -13049324.61144106, -13049166.820633037, -13049131.912145039, -13049002.565963617, -13049151.235904327, -13050469.258675318, -13049334.913064137, -13049686.68265504, -13050586.144140653, -13050652.935835127, -13050350.146820169, -13050737.538648132, -13050713.659469735, -13052835.360325597, -13052834.797854677, -13053140.926454356, -13052855.948557926, -13052958.704617295]","[3859645.5920401188, 3858074.7755966373, 3857967.1229338488, 3857991.4882423203, 3857935.583327635, 3857608.561887254, 3856607.030256225, 3857769.9791650614, 3858199.994984323, 3857701.178088152, 3857420.6855410226, 3857543.73097909, 3857080.663420641, 3856543.5278131897, 3856543.5278131897, 3857620.469643792, 3858903.9316263073, 3859185.782695486, 3859645.5920401188]"
74,CABRILLO_1_N001_2,"[-13048069.724875612, -13048120.629456706, -13048814.005559824, -13048195.001478413, -13048069.724875612]","[3857178.763181389, 3856543.5278131897, 3856543.5278131897, 3857137.553598862, 3857178.763181389]"
75,CABRILLO_6_N001_1,"[-13048814.005559824, -13048120.629456706, -13048310.845335511, -13049256.989420582, -13049622.117350383, -13049646.607638355, -13049328.233894689, -13048814.005559824]","[3856543.5278131897, 3856543.5278131897, 3853695.516266757, 3853310.6464507226, 3854043.3905945425, 3855333.077810865, 3856050.0725537892, 3856543.5278131897]"
76,CABRILLO_6_N001_2,"[-13052835.360325597, -13050713.659469735, -13050691.897656908, -13051022.516544562, -13051070.383925604, -13050875.574816715, -13050585.030945743, -13050296.71346459, -13050915.6498334, -13050678.53931801, -13050758.689351382, -13051393.210448902, -13051609.170261042, -13051672.622370794, -13051994.335699188, -13051996.562089004, -13052193.597587707, -13052190.258002983, -13052687.85612683, -13052835.911049584, -13052835.360325597]","[3856543.5278131897, 3856543.5278131897, 3856054.041280564, 3855470.652761906, 3854749.724914921, 3853878.056265628, 3853649.2373727527, 3853727.2733756676, 3853055.387055386, 3851779.172808084, 3851357.3250466287, 3850897.144664045, 3851104.752560494, 3852134.911936482, 3852720.780762299, 3853206.1613681647, 3853370.1636831025, 3854100.266138754, 3854863.4830814763, 3855489.1725892797, 3856543.5278131897]"
77,CANNONBE_LNODE56_1,"[-13794265.963509457, -13796619.48261588, -13796820.803452993, -13797364.042568065, -13797887.244174795, -13798080.940088773, -13798196.7123592, -13799440.15107136, -13800199.34999857, -13800674.684224255, -13800819.399562286, -13800379.687573655, -13800535.534860764, -13800289.518786112, -13800289.518786112, -13801278.035864355, -13800867.26694333, -13800788.230104866, -13801004.189917004, -13799689.506730737, -13798922.51543917, -13798558.500704277, -13798478.350670904, -13799837.561653491, -13797883.904590068, -13796924.330579432, -13796271.998363385, -13796455.675523192, -13796966.63198593, -13797252.723077271, -13797288.345314326, -13797046.782019304, -13797111.347323962, -13797880.565005345, -13797839.376793751, -13797702.453820078, -13797302.816848127, -13797573.323210757, -13797276.100170339, -13797318.401576841, -13796158.452482773, -13794533.187917193, -13793902.006404394, -13792956.903927559, -13792375.816185618, -13791405.1102259, -13792057.442441948, -13791726.823554292, -13791684.522147791, -13791609.93808896, -13791181.358049408, -13790957.605872912, -13791009.926033584, -13790758.343984392, -13790914.191271503, -13790596.93072274, -13790980.982965978, -13791032.189931743, -13790724.948137155, -13790955.379483096, -13790864.097500646, -13790287.462538337, -13790347.575063363, -13789517.131662047, -13789398.019806897, -13789618.43239867, -13789137.532198442, -13790639.232129244, -13790412.140368024, -13791254.82891333, -13791029.963541927, -13791145.735812351, -13791584.334606078, -13792147.611229492, -13792189.912635993, -13791794.728443677, -13792110.87579753, -13791882.670841401, -13792334.627974026, -13792650.775327876, -13793318.692272637, -13792583.983633403, -13792189.912635993, -13792270.062669365, -13791861.520138152, -13792968.03587664, -13793126.109553564, -13793054.865079457, -13793756.177871456, -13793878.629311327, -13794071.212030398, -13793771.762600165, -13794232.62529205, -13794576.602518601, -13795057.502718829, -13796274.224753197, -13797234.911958745, -13799944.428364653, -13799033.834929964, -13797876.112225713, -13797289.458509233, -13797065.706332738, -13797416.362728737, -13797759.22676038, -13798991.533523463, -13799604.903917734, -13799828.656094227, -13800118.086770289, -13799934.409610482, -13800134.78469391, -13800125.879134644, -13799722.902577974, -13799983.390186429, -13800435.34731905, -13801558.560981156, -13801663.2013025, -13801350.393533371, -13801758.936064584, -13801770.068013664, -13801269.130305095, -13801313.65810141, -13800816.059977563, -13800673.571029348, -13800208.255557835, -13800053.521465631, -13800249.443769427, -13799949.994339192, -13799485.792062584, -13799500.263596388, -13799756.298425214, -13799582.640019575, -13799760.751204843, -13799980.050601706, -13799870.957500732, -13799992.295745693, -13800139.237473542, -13799981.163796613, -13800083.577728145, -13800180.425685136, -13800403.064666722, -13800133.671499003, -13800199.34999857, -13800526.629301501, -13801216.81014442, -13801096.585094364, -13801495.108871402, -13801832.406928506, -13801684.352005752, -13801876.934724825, -13802758.585091906, -13802844.301099818, -13802567.115567744, -13802899.960845213, -13800869.493333144, -13800784.561209427, -13754770.403826617, -13767677.849859616, -13794265.963509457]","[5687865.320607088, 5688052.60298834, 5688734.553468929, 5689434.057005205, 5689405.504770644, 5689741.7924237605, 5690812.603768065, 5691743.917181447, 5693949.62845662, 5694547.96186421, 5695432.044928863, 5695674.905301435, 5695924.121817959, 5696376.5389664695, 5697702.173568072, 5698430.959385983, 5698556.399100365, 5698813.635409875, 5699123.281521058, 5699787.071871802, 5703033.684693033, 5706200.42670021, 5711045.663740933, 5711269.86724906, 5710985.241063144, 5709719.638911745, 5709597.222083702, 5708869.115090802, 5708845.269795405, 5708568.669019603, 5707955.090968553, 5707543.4132531425, 5706848.849446289, 5705764.992731945, 5704298.340219039, 5703731.129621491, 5703338.710859915, 5702874.82101952, 5702220.332456846, 5701670.726159682, 5700350.855957774, 5699328.130224972, 5698535.757001121, 5697873.647242145, 5696690.863296598, 5696178.107575923, 5697716.462915365, 5697964.148562075, 5698256.299422613, 5698108.635023305, 5698515.114949531, 5698146.741731678, 5698592.919854191, 5698280.1164895315, 5698573.865529243, 5699016.889084196, 5698961.3114487985, 5699143.924976303, 5699205.8556279205, 5699337.658185841, 5699620.3256429555, 5699310.66232303, 5699831.538057912, 5700088.811046318, 5700624.026100622, 5700643.084794087, 5700955.970819113, 5700846.380051927, 5701413.407655125, 5701975.705828752, 5702720.725953384, 5703745.428606098, 5704252.26294503, 5704322.173385004, 5704385.728804916, 5704430.217867732, 5704471.529338611, 5704528.730151959, 5705216.757504784, 5707161.952763262, 5708102.9180968795, 5708830.962648716, 5709980.376448626, 5710395.346393177, 5710462.124966474, 5710414.425934596, 5710187.064049768, 5709392.137910094, 5709508.19271689, 5709854.776319288, 5709567.015591929, 5709222.032903931, 5709171.161007886, 5709740.3068534415, 5709667.174351456, 5710179.114438221, 5711428.880240327, 5711786.669821531, 5711764.406940557, 5717623.049009702, 5723157.53258292, 5729139.972486335, 5735681.289047686, 5737690.5518903, 5739137.182825649, 5739405.162311709, 5740405.371255287, 5740588.834850003, 5740793.042252998, 5741046.712658805, 5741440.793598823, 5741632.256221824, 5742066.253411738, 5742580.056846639, 5742109.3351694625, 5742433.252839263, 5742792.288658795, 5742835.373930247, 5743223.150757686, 5743630.09522346, 5743989.179320661, 5744247.728840883, 5744790.388060499, 5745170.269201992, 5748292.932031289, 5748821.466538983, 5748771.964995586, 5752980.579963595, 5755497.117150638, 5757015.372959368, 5759830.425912351, 5761896.324513268, 5761873.936040486, 5763154.967265432, 5762927.854624667, 5763484.450855628, 5765170.446521556, 5764983.275611927, 5765738.382400389, 5765733.582790099, 5765890.37140188, 5766237.556036832, 5766992.769493454, 5767232.7872207295, 5768239.332213346, 5769145.160238714, 5769210.780346786, 5769474.866173661, 5769831.794655018, 5770283.177680723, 5770745.789067267, 5771064.348642401, 5771802.362239459, 5773417.881694218, 5773656.911390832, 5750431.356942766, 5703746.759602507, 5687865.320607088]"
78,CANNONBE_LNODE56_2,"[-13798197.661381036, -13799360.892279807, -13799196.361386523, -13798641.990322372, -13798850.157770153, -13798732.159109915, -13798309.1450449, -13798194.485969383, -13798197.661381036]","[5688178.189494058, 5688270.756880401, 5690168.51522371, 5690349.362992989, 5689410.263470084, 5688986.749124466, 5688774.206403245, 5688190.532941715, 5688178.189494058]"
79,CANNONBE_LNODE56_3,"[-13800093.596482316, -13800131.445109187, -13800243.877794888, -13800138.124278631, -13800093.596482316]","[5761865.940171018, 5761718.81745721, 5761838.754268634, 5761837.155100514, 5761865.940171018]"
80,CANNONBE_LNODE56_4,"[-13805606.137666399, -13805728.589106271, -13805765.324538233, -13805680.72172523, -13805606.137666399]","[5770246.361893353, 5770235.157118811, 5770321.594317325, 5770339.2019979805, 5770246.361893353]"
81,CEK_LNODESEC_1,"[-13659850.805894788, -13660872.889584431, -13657804.782959428, -13656804.557507053, -13655917.878183763, -13656035.72841591, -13656898.882695297, -13657099.257778725, -13656924.486178178, -13657039.145253696, -13656908.901449468, -13656721.884704936, -13656928.93895781, -13657121.521676883, -13657285.161328347, -13657275.142574176, -13657864.022680473, -13658097.793611139, -13658124.510288931, -13658269.225626962, -13658162.3589158, -13658848.086979087, -13659237.705196863, -13659644.02133826, -13659658.492872061, -13659850.805894788]","[6044089.5331485, 6044512.1421240065, 6057528.025822853, 6056858.415049092, 6055008.5873166965, 6046959.294721564, 6047961.032874873, 6048486.479812058, 6048460.0414660275, 6048418.731712472, 6048136.178299568, 6048337.765169066, 6048499.699015448, 6048524.485076384, 6048676.507807339, 6048891.327101339, 6048532.74711253, 6048820.270896866, 6048220.4476476805, 6048162.615653555, 6047833.806823267, 6047478.575179017, 6045758.799850136, 6045068.342846872, 6044440.702576277, 6044089.5331485]"
82,CEK_LNODESEC_2,"[-13656051.140548361, -13656054.758318346, -13656335.788373591, -13656315.56856354, -13656051.140548361]","[6045907.185061295, 6045660.236472091, 6045144.467025237, 6045449.904364568, 6045907.185061295]"
83,CHEVGEN1_7_B1_1,"[-13622410.991252635, -13622909.998872466, -13622948.664393164, -13622919.776862431, -13623471.443500176, -13623485.224338789, -13623743.485557428, -13624127.537800664, -13624173.178791888, -13624679.682474999, -13624234.404511826, -13624017.331504779, -13624489.326145742, -13624470.401832307, -13625347.59941976, -13625557.993257357, -13625700.482205575, -13625565.785621716, -13625510.125876317, -13625478.956418896, -13625588.04951987, -13626007.880118959, -13625904.099039469, -13625622.558562018, -13625554.780172056, -13624949.075642718, -13622410.991252635]","[4570247.557832328, 4568665.9549121335, 4568655.604375706, 4568634.966014848, 4566886.7462365115, 4566928.441744663, 4566527.735934588, 4566505.161419619, 4566673.0605499325, 4566443.081756567, 4566955.250079782, 4568263.298746304, 4568500.373756456, 4568827.771960122, 4569520.704810334, 4569211.631284671, 4569121.310166103, 4569222.921479756, 4569294.896762286, 4569451.550573596, 4569213.042558374, 4568905.191511549, 4569036.758860568, 4569232.8004105585, 4569479.616360855, 4570247.557832328, 4570247.557832328]"
84,CHEVGEN1_7_B1_2,"[-13627652.198824832, -13627731.565921502, -13627597.36632869, -13627652.198824832]","[4559917.444083251, 4560094.496844804, 4560031.122940861, 4559917.444083251]"
85,CHEVGEN1_7_B1_3,"[-13628059.901397666, -13628156.30053514, -13628103.870011799, -13628059.901397666]","[4560826.982338041, 4561042.049531689, 4561025.239161504, 4560826.982338041]"
86,CHEVGEN1_7_B1_4,"[-13626529.97534152, -13626527.098719975, -13626519.793657813, -13626529.97534152]","[4568243.336202219, 4568246.982753241, 4568229.431329818, 4568243.336202219]"
87,CHEVGEN1_7_B1_5,"[-13626408.731058152, -13626406.26708116, -13626405.134582296, -13626408.731058152]","[4568397.032701568, 4568400.156209652, 4568395.94719175, 4568397.032701568]"
88,CHEVGEN2_7_B1_1,"[-13632187.384362854, -13631896.43777761, -13631162.9296188, -13630752.160697771, -13631740.677776018, -13632187.384362854]","[4576816.7489792295, 4579049.308135528, 4578376.256225454, 4577381.888790115, 4576606.517894321, 4576816.7489792295]"
89,CHEVGEN2_7_B1_2,"[-13626527.098719975, -13626529.97534152, -13627153.201560425, -13626662.282606028, -13625904.099039469, -13626007.880118959, -13626454.115158243, -13626406.26708116, -13626408.731058152, -13626615.528419893, -13626527.098719975]","[4568246.982753241, 4568243.336202219, 4569094.496235386, 4568508.840821267, 4569036.758860568, 4568905.191511549, 4568577.988775827, 4568400.156209652, 4568397.032701568, 4568459.44970724, 4568246.982753241]"
90,CHEVGEN2_7_B1_3,"[-13623996.8856054, -13624949.075642718, -13625554.780172056, -13625517.918240672, -13626585.47215738, -13626898.279926509, -13627015.165391842, -13626641.131902777, -13626756.904173203, -13627177.6918484, -13627986.984546468, -13627561.744091637, -13628178.454070631, -13628546.921585158, -13628704.995262083, -13628752.862643125, -13628778.466126008, -13628420.017365653, -13627762.119175063, -13627651.912879178, -13627529.461439306, -13627612.951057402, -13627422.594728144, -13627451.537795752, -13627373.614152197, -13626889.374367246, -13626637.792318054, -13626733.527080134, -13626520.90685272, -13625629.237731466, -13624915.679795481, -13625368.750123007, -13625251.864657678, -13624874.491583886, -13624789.888770882, -13624679.682474999, -13624337.931638263, -13623996.8856054]","[4572662.393322512, 4570247.557832328, 4569479.616360855, 4569613.852061785, 4569793.092307429, 4570244.735003667, 4570488.912524307, 4570957.52363311, 4571328.757701111, 4571760.704555846, 4571890.574447549, 4572706.533362001, 4573217.5991495475, 4574057.665322112, 4574193.211787063, 4574037.898277334, 4574421.950464954, 4574594.213788201, 4574224.27476819, 4574385.238979155, 4574474.1939573195, 4574122.614448779, 4574176.268382051, 4574492.549841459, 4574184.740081105, 4574148.029435186, 4573508.437886779, 4574049.193726872, 4573401.137208893, 4572664.180973744, 4573041.123309716, 4573437.845210587, 4573615.739674977, 4573516.9090402005, 4573091.948043679, 4573217.5991495475, 4572700.886366893, 4572662.393322512]"
91,CHEVGEN2_7_B1_4,"[-13622747.298362518, -13623974.157685814, -13624108.61348723, -13624589.513687456, -13624799.907525055, -13625000.282608485, -13625623.671756927, -13625648.1620449, -13624231.064927101, -13624205.461444218, -13623813.616836626, -13623592.09104995, -13622747.298362518]","[4575832.307013508, 4572720.040143757, 4572750.297678209, 4573226.070065399, 4573840.229902336, 4573824.698975399, 4574540.557692083, 4574886.50318829, 4575101.136400905, 4575365.197831316, 4575432.979390304, 4576065.628647669, 4575832.307013508]"
92,CHI_LNODESEC_1,"[-13657474.2838996, -13658492.561631965, -13691808.968674844, -13691776.392355736, -13690491.765431982, -13689513.26710791, -13689684.69912373, -13689145.91278829, -13688935.518950693, -13689102.498186883, -13688662.786198247, -13688372.242327278, -13688404.524979608, -13686165.890019756, -13685857.535030257, -13685261.975754514, -13684338.02398093, -13683672.333425986, -13682920.926863132, -13683276.946350915, -13660872.889584431, -13659850.805894788, -13659861.094345303, -13659729.737346169, -13659973.527031008, -13659723.05817672, -13659796.529040646, -13659473.702517344, -13658948.274520801, -13658482.959049283, -13658230.263805183, -13657941.946324028, -13657304.085641785, -13657552.328106254, -13658175.717254695, -13657180.521007001, -13657574.59200441, -13657680.345520666, -13657515.59267429, -13657445.461395092, -13657774.96708784, -13657474.2838996]","[6037315.288142529, 6033506.3053327, 6031296.06464119, 6031343.342439105, 6033701.909933471, 6033885.014470325, 6034952.376687604, 6034977.123897688, 6035229.549488651, 6035660.174868248, 6037273.973510255, 6037674.994774524, 6038115.644540964, 6038163.5067302035, 6038574.472302726, 6038815.449160793, 6039969.260277396, 6040226.784225165, 6042136.993200979, 6043045.764151225, 6044512.1421240065, 6044089.5331485, 6044070.746527475, 6043456.390251691, 6042506.866406687, 6041922.341908716, 6041460.034168352, 6040885.486181167, 6041278.420041027, 6041029.119594748, 6041937.202210901, 6042143.597940734, 6041516.170216743, 6040126.084844251, 6040314.278083065, 6039089.44471411, 6038962.349310538, 6038269.134568917, 6038356.608600466, 6038308.745341394, 6037985.262680835, 6037315.288142529]"
93,CHI_LNODESEC_2,"[-13696763.505543275, -13713333.076643147, -13725127.217532927, -13690502.85859379, -13690565.236295907, -13690472.841118548, -13691041.683716502, -13690349.276483767, -13690391.577890268, -13691035.004547054, -13691974.54104935, -13692800.531671034, -13693036.528991517, -13693932.650892403, -13693961.59396001, -13695197.240307815, -13695905.23226926, -13697160.916125406, -13696763.505543275, -13696763.505543275]","[6030967.4244312085, 6029868.436195241, 6040307.270093802, 6042572.870832126, 6042391.279328119, 6042115.527831659, 6041441.872583757, 6041540.9362364635, 6041138.084467463, 6040893.740910371, 6038916.133263757, 6037798.770528883, 6036670.001301893, 6035323.592280316, 6034739.553606217, 6033540.253296368, 6032481.31214248, 6032351.015263287, 6031204.817224864, 6030967.4244312085]"
94,CLV_LNODEXF1_1,"[-13679473.44007908, -13676895.573891466, -13677047.71052888, -13675866.966531226, -13675846.5599906, -13676318.567864181, -13676050.287891371, -13676166.060161797, -13676663.658285642, -13676936.391038084, -13677546.421847634, -13678521.580586981, -13680358.35218507, -13680578.76477684, -13679350.910793392, -13679429.947631855, -13678931.236313099, -13678667.409119923, -13678659.616755564, -13679996.563839993, -13680066.357879326, -13679473.44007908]","[6180395.058216469, 6178452.36558488, 6178051.142532435, 6177677.325567677, 6177661.950262089, 6177467.375743685, 6177073.188019523, 6176994.352661493, 6177098.348393604, 6176893.712838101, 6177296.279259102, 6176692.436754725, 6177098.348393604, 6177385.181905909, 6177923.64982232, 6178237.352416369, 6178124.954972852, 6178718.832861673, 6179064.441862089, 6179727.177925621, 6180488.878147955, 6180395.058216469]"
95,CLV_LNODEXF1_2,"[-13675674.673478466, -13675473.067471001, -13675476.992513785, -13675716.32941899, -13675674.673478466]","[6177532.443490505, 6177380.547265631, 6177360.020685402, 6177512.666564317, 6177532.443490505]"
96,CLV_LNODEXF1_3,"[-13657439.052091077, -13653358.221987572, -13654661.590282068, -13659036.240403654, -13658902.633529577, -13658053.265814822, -13657439.052091077]","[6163804.091384687, 6160734.935128409, 6159309.489556772, 6161136.9047431825, 6161610.248950402, 6162310.142903491, 6163804.091384687]"
97,CLV_LNODEXF1_4,"[-13682636.777449004, -13681849.936893266, -13681808.845150106, -13681732.034701461, -13682276.38701144, -13682636.777449004]","[6180895.618625108, 6180771.107745484, 6180737.32035616, 6180492.324651308, 6180547.699776893, 6180895.618625108]"
98,CLV_LNODEXF1_5,"[-13682448.932222169, -13682569.157272225, -13682448.932222169, -13682384.366917508, -13682448.932222169]","[6179406.709243778, 6179514.090077789, 6179668.452396484, 6179507.37873605, 6179406.709243778]"
99,CLV_LNODEXF1_6,"[-13683901.65157702, -13683475.297927283, -13683102.377633126, -13683872.708509414, -13684617.435902823, -13684509.455996754, -13683901.65157702]","[6180846.396051869, 6180832.9712755345, 6180443.661959168, 6180238.946089997, 6180633.28022399, 6180853.108447984, 6180846.396051869]"
100,CLV_LNODEXF1_7,"[-13677536.403093463, -13677656.62814352, -13677690.023990756, -13677597.628813397, -13677536.403093463]","[6176895.390158739, 6176865.19843741, 6176996.030001967, 6177036.286271832, 6176895.390158739]"
101,CLV_LNODEXF1_8,"[-13679937.564509872, -13680086.732627533, -13680111.22291551, -13679982.092306187, -13679937.564509872]","[6178168.57171529, 6178160.183862894, 6178215.543841334, 6178348.073734917, 6178168.57171529]"
102,COOSRIVE_LNODE43_1,"[-13824476.051162964, -13821176.25905693, -13778056.203464948, -13776499.124620598, -13779451.698430985, -13822040.23409221, -13826531.891078053, -13825469.9093728, -13825121.557597365, -13824914.503344493, -13823743.422301348, -13823464.010379458, -13823356.030473385, -13822432.078699803, -13822346.362691892, -13823134.504686706, -13823141.183856156, -13822886.262222238, -13823087.750500575, -13823244.710982595, -13822863.99832408, -13822666.962825375, -13823405.011049336, -13822941.921967635, -13824062.909239925, -13823784.61051294, -13824543.80944015, -13823549.726387367, -13824436.942728989, -13824394.641322486, -13824476.051162964]","[5372342.937370649, 5377771.842089174, 5418861.396325611, 5387793.128005896, 5360045.3549458245, 5353749.581653656, 5353124.880252155, 5368695.206366081, 5368653.22133292, 5368881.400850561, 5369017.698673078, 5368567.464037395, 5367469.5343410475, 5367008.656920509, 5367175.550089733, 5367760.465415933, 5368282.632988264, 5368158.596390513, 5368291.820950287, 5369449.576894183, 5369170.844680256, 5369118.774754466, 5369711.4702783795, 5369875.348842741, 5370192.393153331, 5370581.438160971, 5371163.5044354135, 5371184.949679303, 5371316.685835551, 5372289.44670823, 5372342.937370649]"
103,COOSRIVE_LNODE43_2,"[-13824037.30575704, -13823725.61118282, -13824180.907900166, -13824007.249494527, -13824197.605823785, -13824037.30575704]","[5370026.977379936, 5369722.19121755, 5369423.54111338, 5369553.720747227, 5369829.401289976, 5370026.977379936]"
104,COOSRIVE_LNODE43_3,"[-13823610.952107301, -13823738.969521716, -13823882.571664838, -13823502.972201234, -13823610.952107301]","[5369835.527617194, 5369876.88043175, 5370085.178890145, 5369909.043859273, 5369835.527617194]"
105,CORONADO_6_N001_1,"[-13042129.329345176, -13041884.328459496, -13041887.729093703, -13042338.48306778, -13042129.329345176]","[3855738.0964681897, 3855301.3815115234, 3855276.32721183, 3855647.915158495, 3855738.0964681897]"
106,CORONADO_6_N001_2,"[-13042240.85690143, -13042483.700953217, -13042712.516556844, -13044238.706775617, -13044839.528573873, -13044093.805905104, -13042929.589563891, -13042643.498472553, -13042572.253998445, -13042833.85480181, -13043063.172952844, -13043569.676635953, -13043920.33303195, -13042966.324995853, -13042646.838057276, -13042240.85690143]","[3852674.934195487, 3850886.302917504, 3851262.113841972, 3852741.941353842, 3853122.597492025, 3855780.8637025757, 3855282.810440171, 3854692.846242636, 3853785.470052441, 3852923.1304707797, 3852734.006127556, 3853214.096911612, 3852935.033502754, 3852220.872812271, 3852281.707040758, 3852674.934195487]"
107,CORONADO_6_N001_3,"[-13043051.50541948, -13043034.096208444, -13043026.43752088, -13043051.50541948]","[3856295.701817385, 3856290.18465941, 3856273.6462415624, 3856295.701817385]"
108,CORONADO_6_N001_4,"[-13042697.232115349, -13042538.654658213, -13042592.291506788, -13042891.74093702, -13042725.87489574, -13042697.232115349]","[3856183.4294724185, 3856133.175218988, 3855920.428212903, 3856185.0100126015, 3856146.645284041, 3856183.4294724185]"
