,node,x,y
14,BIGBASN_6_N001_1,"[-13607186.903073777, -13595476.862376599, -13590140.730215518, -13587710.14297565, -13591887.327077989, -13598528.678958599, -13612223.616596133, -13612788.53446846, -13614031.973180622, -13615707.331517063, -13616925.166746339, -13617655.422605943, -13617944.853282006, -13618543.752142474, -13618749.693200441, -13618503.67712579, -13618598.298692964, -13619153.78295202, -13619473.269890597, -13620128.94169137, -13620106.67779321, -13620603.16272215, -13620574.219654541, -13621117.458769614, -13621011.70525336, -13621259.947717829, -13621857.733383391, -13623201.359637264, -13623413.97986468, -13624028.463453857, -13624583.947712917, -13624887.849922784, -13625197.318107186, -13625301.958428532, -13626124.609465495, -13626082.308058994, -13626288.249116963, -13626331.04407347, -13620058.746580219, -13607186.903073777]","[4477716.905990944, 4473131.022658867, 4466163.86971738, 4459967.893623888, 4451217.125979122, 4449829.651829478, 4452604.204558932, 4453398.028805496, 4454574.715010281, 4455547.708698625, 4455216.852875355, 4454767.352273958, 4455410.897861844, 4455526.76814963, 4455969.320578259, 4457306.862957985, 4458084.614190031, 4458655.746256821, 4459376.338347076, 4459380.527979709, 4459566.270029609, 4459736.652827416, 4459911.228216974, 4459953.126739825, 4460446.145177277, 4461909.972927556, 4463258.047253412, 4464389.7244216185, 4464318.467094434, 4464691.525494219, 4464655.197130419, 4464410.68255057, 4464938.841140584, 4465893.226477253, 4466639.467827494, 4467982.555756568, 4468157.267588197, 4468574.3044134965, 4474017.09354323, 4477716.905990944]"
15,BIGBASN_6_N001_2,"[-13618493.658371618, -13618358.961787757, -13618319.999965979, -13618708.504988847, -13618493.658371618]","[4454299.724419174, 4454256.452439467, 4454037.303520277, 4454324.850166093, 4454299.724419174]"
16,BLLEHVN_6_N001_1,"[-13601793.302606406, -13600504.922250777, -13600326.317474155, -13599548.19423351, -13599409.044870017, -13598269.133284297, -13598168.94574258, -13598397.150698708, -13597545.55659414, -13596570.39785479, -13596159.628933761, -13595684.294708075, -13595207.84728748, -13595166.659075886, -13594843.832552586, -13594925.095780866, -13594456.440724626, -13594770.361688664, -13594569.986605234, -13593572.563967727, -13593139.53114854, -13593026.124833308, -13593307.14491966, -13593441.20696859, -13593375.939192928, -13593630.13234511, -13596918.789867971, -13602288.959680084, -13601793.302606406]","[4508421.937662511, 4510277.957406924, 4510072.583205588, 4509661.427031342, 4508761.991457424, 4508790.0538029, 4508924.754107409, 4509138.033131298, 4509397.622011839, 4510037.500991041, 4510037.500991041, 4509716.153372676, 4508891.0788689405, 4507913.141027705, 4506910.042796913, 4505859.347740412, 4505772.379037476, 4505448.35683484, 4504939.199321105, 4503836.810753036, 4503899.921474644, 4503793.268424568, 4503181.215243066, 4503100.547064046, 4503031.388855551, 4502477.802593997, 4499832.815804089, 4506259.648617382, 4508421.937662511]"
17,BLLEHVN_6_N001_2,"[-13593293.729540482, -13592983.488944035, -13592783.08883944, -13592880.156734992, -13593276.454122217, -13593293.729540482]","[4510960.677116227, 4510422.898530152, 4509017.038877785, 4509067.875078461, 4509827.010170977, 4510960.677116227]"
18,BOLINAS_6_N001_1,"[-13668564.117533784, -13664013.927161844, -13661088.055446545, -13649293.54597576, -13650507.282628179, -13650863.139904484, -13651016.76080178, -13650943.289937858, -13651750.356246108, -13653680.636216462, -13655451.729314985, -13656964.561194865, -13658683.334132714, -13659074.065545397, -13659996.904124074, -13660520.105730802, -13661943.882018046, -13662080.804991724, -13663010.322739845, -13664996.2624556, -13666156.211549666, -13666701.67705455, -13667406.329431271, -13667335.084957166, -13667503.177388266, -13668181.113087194, -13668294.658967804, -13668564.117533784]","[4573773.133950488, 4578345.331066468, 4580104.079059052, 4569147.080799409, 4562600.6066427715, 4562620.254121959, 4562757.06168004, 4563201.346074329, 4564197.176324656, 4565645.955434, 4566196.177680212, 4566213.108057935, 4565094.351631419, 4564439.800993576, 4564750.143135115, 4565408.945605984, 4565785.624473389, 4566746.429089745, 4568926.557929385, 4570294.134616374, 4570563.719504364, 4571414.863318414, 4571395.101310277, 4571678.830894585, 4571985.1546311425, 4572129.144029279, 4573110.3014810495, 4573773.133950488]"
19,BOLINAS_6_N001_2,"[-13692632.439239938, -13692238.368242528, -13692359.706487492, -13692740.419146005, -13693162.320016112, -13692793.852501586, -13692632.439239938]","[4537236.243268745, 4537026.610942096, 4536448.385222291, 4536805.727747218, 4536826.831035086, 4537398.0429119505, 4537236.243268745]"
20,BOLINAS_6_N001_3,"[-13693553.051428797, -13693259.167973103, -13693524.10836119, -13693817.991816886, -13693553.051428797]","[4537202.476703247, 4536964.70689978, 4536663.633387316, 4537087.1084293565, 4537202.476703247]"
21,BOLLMAN_1_N003_1,"[-13577557.83121257, -13575553.271163598, -13574919.877817092, -13575799.832646962, -13576136.592124775, -13575596.692594428, -13575637.88080602, -13575961.820524229, -13577014.902907133, -13577091.713355782, -13577102.845304862, -13576924.734119592, -13577056.091118729, -13577557.83121257]","[4589981.891730768, 4595925.243280873, 4594981.709073603, 4590229.776607726, 4590453.29261094, 4591359.815591779, 4591417.801825187, 4590828.054566537, 4590854.924813438, 4590791.284868131, 4590731.887939204, 4590540.971549605, 4590518.34465555, 4589981.891730768]"
22,BOLLMAN_1_N003_2,"[-13577570.831715383, -13577562.161892705, -13577418.992658714, -13577570.831715383]","[4589943.357484104, 4589969.055326961, 4589956.930699713, 4589943.357484104]"
23,BOLLMAN_1_N003_3,"[-13576622.39164903, -13577016.212548204, -13579689.751243053, -13578783.96019581, -13578519.942422658, -13578465.395872172, -13578442.018779105, -13576666.472900953, -13576622.39164903]","[4585789.7666864125, 4583664.673985276, 4583664.673985276, 4586348.205592416, 4586190.447236549, 4585899.252239216, 4586194.688000924, 4586330.39337854, 4585789.7666864125]"
