,node,p3_level,p4_level,p1_level,p2_level,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses
4968,MADISON_1_N002,12.0,7.0,10.0,5.0,93.22466999999999,67.41765,13:45,14:00,72.20716999999999,54.52721999999999,21.73958,13.261220000000002,-0.72207,-0.37079,84.476,56.69865,14:15,14:30,63.57613,48.48055,21.09696,8.14538,-0.19709,0.07272
4969,MADISON_1_N201,12.0,7.0,10.0,5.0,93.22466999999999,67.41765,13:45,14:00,72.20716999999999,54.52721999999999,21.73958,13.261220000000002,-0.72207,-0.37079,84.476,56.69865,14:15,14:30,63.57613,48.48055,21.09696,8.14538,-0.19709,0.07272
4970,MADISON_LNODE1,3.0,3.0,3.0,3.0,43.982890000000005,32.67037,13:45,14:00,72.20716999999999,54.52721999999999,-16.85655,-11.07751,-1.45773,-1.14934,31.63933,31.1382,14:15,14:30,63.57613,48.48055,-22.17639,-7.63464,-0.45041,-0.0777
4971,MADRAS_LNODE,3.0,3.0,3.0,3.0,27.517979999999998,23.33074,13:45,14:00,72.20716999999999,54.52721999999999,-30.549129999999998,-18.634610000000002,-4.23006,-2.93187,21.02123,25.03633,14:15,14:30,63.57613,48.48055,-29.8694,-11.44418,-3.3755,-2.37003
4972,MAGGIECR_LNODE49,4.0,3.0,3.0,3.0,52.960359999999994,37.71522,13:45,14:00,72.20716999999999,54.52721999999999,-11.492289999999999,-7.69382,2.15548,0.51183,38.13048,33.68929,14:15,14:30,63.57613,48.48055,-16.55893,-5.53423,0.42328,0.37297
4973,MAGNA_LNODELD,3.0,3.0,3.0,3.0,49.77422,36.078720000000004,13:45,14:00,72.20716999999999,54.52721999999999,-11.30195,-7.8936399999999995,-1.2209999999999999,-0.92486,34.25211,32.17395,14:15,14:30,63.57613,48.48055,-18.71163,-6.00837,-1.30239,-0.66823
4974,MAGNOLIA_2_N008,8.0,3.0,4.0,3.0,71.39924,49.28413,13:45,14:00,72.20716999999999,54.52721999999999,8.236139999999999,3.9199800000000002,0.86593,0.46693,53.99705,39.88979,14:15,14:30,63.57613,48.48055,-0.44816,1.17522,0.17908,-0.13598
4975,MAGUNDEN_1_N002,11.0,6.0,9.0,5.0,88.79346,64.9018,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.64632,1.31956,79.84449,55.34844,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.7992,1.27019
4976,MAGUNDEN_1_N005,11.0,6.0,9.0,5.0,88.79346,64.9018,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.64632,1.31956,79.84449,55.34844,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.7992,1.27019
4977,MAGUNDEN_1_N006,11.0,6.0,9.0,5.0,88.79346,64.9018,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.64632,1.31956,79.84449,55.34844,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.7992,1.27019
