,node,p3_level,p4_level,p1_level,p2_level,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses
2836,ESCNDIDO_6_N074,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2837,ESCNDIDO_6_N075,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2838,ESCNDIDO_6_N076,3.0,3.0,3.0,3.0,37.52993,44.838770000000004,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.05637999999999999,-0.24344000000000002,47.84951,46.85801,14:45,15:00,48.06097,47.03675,0,0,-0.21147,-0.17874
2839,ESCO_6_N001,3.0,3.0,3.0,3.0,37.597590000000004,44.91992,14:15,14:30,37.58631,45.08222,0.0,0.0,0.01128,-0.1623,47.95524,46.95679,14:45,15:00,48.06097,47.03675,0,0,-0.10573,-0.07996
2840,ESCO_6_N004,3.0,3.0,3.0,3.0,37.597590000000004,44.91992,14:15,14:30,37.58631,45.08222,0.0,0.0,0.01128,-0.1623,47.95524,46.95679,14:45,15:00,48.06097,47.03675,0,0,-0.10573,-0.07996
2841,ESHORE_2_B1,4.0,4.0,3.0,3.0,40.66839,48.98183,14:15,14:30,37.58631,45.08222,0.0,0.0,3.08208,3.89961,52.37685,50.98784,14:45,15:00,48.06097,47.03675,0,0,4.31588,3.95109
2842,ESIDE_NODET,3.0,3.0,3.0,3.0,19.14777,20.27382,14:15,14:30,37.58631,45.08222,-8.634689999999999,-9.41036,0.02104,0.07272,31.79511,35.86894,14:45,15:00,48.06097,47.03675,-0.0036,-0.0036,0.10774,0.13579
2843,ESQUON_6_N001,3.0,3.0,3.0,3.0,38.25911,45.99288,14:15,14:30,37.58631,45.08222,0.0,0.0,0.67279,0.91066,49.027,47.8646,14:45,15:00,48.06097,47.03675,0,0,0.96603,0.82785
2844,ESRPP1_7_N001,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2845,ESRPP1_7_N003,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2846,ESRPP1_7_N004,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2847,ESRPP1_7_N005,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2848,ESRPP2_7_N001,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2849,ESRPP2_7_N003,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2850,ESRPP2_7_N004,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2851,ESRPP2_7_N005,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2852,ESRPP3_7_N001,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2853,ESRPP3_7_N002,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2854,ESRPP3_7_N004,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2855,ESRPP3_7_N005,3.0,3.0,3.0,3.0,37.08265,44.31131,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.50366,-0.77091,47.24394,46.30768,14:45,15:00,48.06097,47.03675,0,0,-0.81704,-0.72907
2856,ESR_1_UNITS-APND,3.0,3.0,3.0,3.0,18.086370000000002,20.11102,14:15,14:30,37.58631,45.08222,-9.57868,-9.41156,-0.09637000000000001,-0.08888,31.49923,35.50327,14:45,15:00,48.06097,47.03675,-0.0048,-0.0048,-0.18695,-0.22868
2857,ESR_GNODEGEN1,3.0,3.0,3.0,3.0,18.086370000000002,20.11102,14:15,14:30,37.58631,45.08222,-9.57868,-9.41156,-0.09637000000000001,-0.08888,31.49923,35.50327,14:45,15:00,48.06097,47.03675,-0.0048,-0.0048,-0.18695,-0.22868
2858,ESR_GNODEGEN2,3.0,3.0,3.0,3.0,18.086370000000002,20.11102,14:15,14:30,37.58631,45.08222,-9.57868,-9.41156,-0.09637000000000001,-0.08888,31.49923,35.50327,14:45,15:00,48.06097,47.03675,-0.0048,-0.0048,-0.18695,-0.22868
2859,ESR_GNODEGEN3,3.0,3.0,3.0,3.0,18.086370000000002,20.11102,14:15,14:30,37.58631,45.08222,-9.57868,-9.41156,-0.09637000000000001,-0.08888,31.49923,35.50327,14:45,15:00,48.06097,47.03675,-0.0048,-0.0048,-0.18695,-0.22868
2860,ESR_GNODEGEN4,3.0,3.0,3.0,3.0,18.086370000000002,20.11102,14:15,14:30,37.58631,45.08222,-9.57868,-9.41156,-0.09637000000000001,-0.08888,31.49923,35.50327,14:45,15:00,48.06097,47.03675,-0.0048,-0.0048,-0.18695,-0.22868
2861,ESTCKTN_6_N002,4.0,3.0,3.0,3.0,39.33032,47.28223,14:15,14:30,37.58631,45.08222,0.0,0.0,1.744,2.20001,50.40154,49.12989,14:45,15:00,48.06097,47.03675,0,0,2.34057,2.09314
2862,ESTCKTN_6_N101,4.0,3.0,3.0,3.0,39.33032,47.28223,14:15,14:30,37.58631,45.08222,0.0,0.0,1.744,2.20001,50.40154,49.12989,14:45,15:00,48.06097,47.03675,0,0,2.34057,2.09314
2863,ESTC_LNODEBR1,3.0,3.0,3.0,3.0,19.083460000000002,20.20028,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,-0.04208,-0.00202,31.67907,35.77723,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-0.00951,0.04288
2864,ESTC_LNODEBR2,3.0,3.0,3.0,3.0,19.083460000000002,20.20028,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,-0.04208,-0.00202,31.67907,35.77723,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,-0.00951,0.04288
2865,ESTGRND_1_LN001,4.0,4.0,3.0,3.0,40.61577,48.93674,14:15,14:30,37.58631,45.08222,0.0,0.0,3.02946,3.8545300000000005,52.35282,51.00665,14:45,15:00,48.06097,47.03675,0,0,4.29184,3.9699
2866,ESTGRND_1_N001,4.0,4.0,3.0,3.0,40.856320000000004,49.21625,14:15,14:30,37.58631,45.08222,0.0,0.0,3.2700099999999996,4.13404,52.63638,51.27947,14:45,15:00,48.06097,47.03675,0,0,4.5754,4.24271
2867,ESTGRND_1_N005,4.0,4.0,3.0,3.0,40.856320000000004,49.21625,14:15,14:30,37.58631,45.08222,0.0,0.0,3.2700099999999996,4.13404,52.63638,51.27947,14:45,15:00,48.06097,47.03675,0,0,4.5754,4.24271
2868,ESTGRND_1_N009,4.0,4.0,3.0,3.0,40.856320000000004,49.21625,14:15,14:30,37.58631,45.08222,0.0,0.0,3.2700099999999996,4.13404,52.63638,51.27947,14:45,15:00,48.06097,47.03675,0,0,4.5754,4.24271
2869,ESTPRTL_1_N001,4.0,3.0,3.0,3.0,39.85652,47.94944,14:15,14:30,37.58631,45.08222,0.0,0.0,2.27021,2.8672299999999997,51.21858,49.87307,14:45,15:00,48.06097,47.03675,0,0,3.15761,2.83632
2870,ESTQNCY_6_B1,3.0,3.0,3.0,3.0,38.87928,46.79534,14:15,14:30,37.58631,45.08222,0.0,0.0,1.2929700000000002,1.71312,49.96899,49.17692,14:45,15:00,48.06097,47.03675,0,0,1.90802,2.14017
2871,ESTQNCY_6_N001,3.0,3.0,3.0,3.0,38.87928,46.79534,14:15,14:30,37.58631,45.08222,0.0,0.0,1.2929700000000002,1.71312,49.96899,49.17692,14:45,15:00,48.06097,47.03675,0,0,1.90802,2.14017
2872,ESUB_LNODE123,3.0,3.0,3.0,3.0,19.18291,20.29927,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,0.057379999999999994,0.09697,31.83117,35.93089,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.1426,0.19654
2873,ESUB_LNODE415,3.0,3.0,3.0,3.0,19.18291,20.29927,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,0.057379999999999994,0.09697,31.83117,35.93089,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.1426,0.19654
2874,ESUB_LNODEK27,3.0,3.0,3.0,3.0,19.18291,20.29927,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,0.057379999999999994,0.09697,31.83117,35.93089,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.1426,0.19654
2875,ESUB_LNODEWR4,3.0,3.0,3.0,3.0,19.18291,20.29927,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,0.057379999999999994,0.09697,31.83117,35.93089,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.1426,0.19654
2876,ESUB_LNODEWR5,3.0,3.0,3.0,3.0,19.18291,20.29927,14:15,14:30,37.58631,45.08222,-8.63589,-9.40916,0.057379999999999994,0.09697,31.83117,35.93089,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.1426,0.19654
2877,ES_LNODE12A,3.0,3.0,3.0,3.0,26.54155,28.215609999999998,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,-1.2186700000000001,-1.3946399999999999,30.17183,34.08457,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,-1.51794,-1.65098
2878,ES_LNODE14A,3.0,3.0,3.0,3.0,26.54155,28.215609999999998,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,-1.2186700000000001,-1.3946399999999999,30.17183,34.08457,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,-1.51794,-1.65098
2879,ES_LNODE18A,3.0,3.0,3.0,3.0,26.522109999999998,28.197840000000003,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,-1.23811,-1.41241,30.14965,34.03454,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,-1.54012,-1.70101
2880,ES_LNODE21A,3.0,3.0,3.0,3.0,26.522109999999998,28.197840000000003,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,-1.23811,-1.41241,30.14965,34.03454,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,-1.54012,-1.70101
2881,ES_LNODER9A,3.0,3.0,3.0,3.0,26.54155,28.215609999999998,14:15,14:30,37.58631,45.08222,-0.0012,-0.0012,-1.2186700000000001,-1.3946399999999999,30.17183,34.08457,14:45,15:00,48.06097,47.03675,-0.0012,-0.0012,-1.51794,-1.65098
2882,ETGT_LNODE131,3.0,3.0,3.0,3.0,27.77845,29.73341,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,0.019430000000000003,0.12435999999999998,31.84068,35.88444,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.15211,0.15008
