node_ba,node_type,node_name,latitude,longitude,geometry
CA,LOAD,MADISON_1_N201,38.67068625,-121.9691953,POINT (-121.9691952646388 38.67068624945333)
NV,LOAD,MAGGIECR_LNODE49,40.787842,-116.170731,POINT (-116.170731 40.787842)
PACE,LOAD,MAGNA_LNODELD,40.71944,-112.08111,POINT (-112.08111 40.71944000000001)
CA,LOAD,MAGUNDEN_1_N002,35.36215927,-118.9237322,POINT (-118.9237321971695 35.36215927310745)
NV,LOAD,MAG_PDS3_LNODE-1,36.03242537,-114.9412624,POINT (-114.9412624 36.03242537)
CA,LOAD,MAINE-PR_6_N001,38.38582119,-121.7758215,POINT (-121.7758215005312 38.38582118546309)
PGE,LOAD,MAIN_PGE_LNODEBR1,45.52272832,-122.959007,POINT (-122.959007 45.52272831870386)
PGE,LOAD,MAIN_PGE_LNODEBR2,45.52264774,-122.9589406,POINT (-122.9589405998416 45.52264774062878)
PGE,LOAD,MAIN_PGE_LNODEBR3,45.52264774,-122.9590734,POINT (-122.9590734001584 45.52264774062878)
PACE,LOAD,MALAD_LNODED1,42.15694,-112.3110496,POINT (-112.3110495746498 42.1569399999841)
PACE,LOAD,MALAD_LNODED2,42.15694,-112.3111704,POINT (-112.3111704253502 42.1569399999841)
CA,LOAD,MALAGA_1_N001,36.69415521,-119.7247464,POINT (-119.7247464188299 36.69415521304141)
CA,LOAD,MALAGA_1_N004,36.69397563,-119.7247464,POINT (-119.7247464190915 36.69397563196096)
CA,LOAD,MALAGA_1_N005,36.69397563,-119.7249704,POINT (-119.7249703807565 36.69397563196096)
CA,LOAD,MALAGA_1_N206,36.69415521,-119.7249704,POINT (-119.7249703810181 36.69415521304141)
CA,GEN,MALCHA_7_B1,41.135,-121.127778,POINT (-121.127778 41.135)
PACW,LOAD,MALINA_LNODE16,42.00778,-121.31667,POINT (-121.31667 42.00778)
PACW,LOAD,MALLORY_LNODE14,45.56278,-122.66528,POINT (-122.66528 45.56278)
CA,GEN,MAMOTH1G_7_B1,37.23,-119.35,POINT (-119.35 37.23)
CA,GEN,MAMOTH2G_7_B1,37.23,-119.33,POINT (-119.33 37.23)
CA,LOAD,MANCHSTR_1_N001,36.78803389,-119.7874878,POINT (-119.787487785172 36.7880338867761)
CA,LOAD,MANCHSTR_1_N002,36.787953,-119.7874295,POINT (-119.7874294750607 36.78795300331728)
CA,LOAD,MANCHSTR_1_N005,36.787953,-119.7875461,POINT (-119.7875460952833 36.78795300331728)
CA,GEN,MANDLY1G_7_B1,34.20752223,-119.2489614,POINT (-119.2489613872941 34.20752222819712)
CA,LOAD,MANDLY1G_7_N002,34.207444,-119.2489068,POINT (-119.2489067746896 34.20744399995156)
CA,GEN,MANDLY2G_7_B1,34.20736577,-119.2489614,POINT (-119.2489613873955 34.20736577177866)
CA,LOAD,MANDLY2G_7_N002,34.20736577,-119.2490706,POINT (-119.2490706126045 34.20736577177866)
CA,GEN,MANDLY3G_7_B1,34.207444,-119.2491252,POINT (-119.2491252253104 34.20744399995156)
CA,LOAD,MANDLY3G_7_N001,34.20752223,-119.2490706,POINT (-119.2490706127059 34.20752222819712)
PACE,LOAD,MANILA_LNODELD,40.40333,-111.75333,POINT (-111.75333 40.40333)
PACE,LOAD,MANSFACE_LNODE32,41.53333,-109.4902198,POINT (-109.4902198407028 41.53332999998437)
PACE,LOAD,MANSFACE_LNODEPP,41.53333,-109.4903402,POINT (-109.4903401592972 41.53332999998437)
CA,LOAD,MANTECA_1_N001,37.80151585,-121.2235671,POINT (-121.2235670705922 37.80151584670727)
CA,LOAD,MANTECA_1_N002,37.80133499,-121.2235671,POINT (-121.2235670708724 37.80133499174041)
CA,LOAD,MANTECA_1_N012,37.80133499,-121.223796,POINT (-121.2237959604356 37.80133499174041)
CA,LOAD,MANTECA_1_N013,37.80151585,-121.223796,POINT (-121.2237959607158 37.80151584670727)
PACE,LOAD,MANTUA_LNODED1,41.50183,-111.99261,POINT (-111.99261 41.50183)
CA,LOAD,MANVILLE_1_N001,34.53,-120.43,POINT (-120.43 34.53)
PSE,LOAD,MAN_LNODEXF1,47.55,-122.5680556,POINT (-122.5680556 47.55)
PACE,LOAD,MAPLETON_LNODED1,40.14436,-111.59064,POINT (-111.59064 40.14436)
PSE,LOAD,MAP_LNODEXF1,47.48805556,-122.1341667,POINT (-122.1341667 47.48805556)
PACE,LOAD,MARBLHED_LNODEPM,-0.000430497,-0.000188417,POINT (-0.0001884169337885688 -0.0004304971816300257)
PACW,GEN,MARENGO_NODE1,46.37556,-117.77722,POINT (-117.77722 46.37556)
PACW,GEN,MARENGO_NODE2,46.36553,-117.83206,POINT (-117.83206 46.36553)
CA,LOAD,MARGARTA_1_N001,33.55007578,-117.6279865,POINT (-117.6279864558528 33.55007578284336)
CA,LOAD,MARGARTA_1_N002,33.54989621,-117.6279865,POINT (-117.6279864560767 33.54989620583625)
CA,LOAD,MARGARTA_1_N008,33.54989621,-117.6282019,POINT (-117.6282019299933 33.54989620583625)
CA,LOAD,MARGARTA_1_N009,33.55007578,-117.6282019,POINT (-117.6282019302172 33.55007578284336)
CA,LOAD,MARICOPA_6_N001,35.10754666,-119.398151,POINT (-119.398151035933 35.1075466646541)
NV,LOAD,MARIGLD_LNODE20,40.751727,-117.149282,POINT (-117.149282 40.751727)
CA,LOAD,MARIPOS2_6_N001,37.50445821,-120.0077361,POINT (-120.0077360738986 37.50445821040657)
CA,LOAD,MARIPOS2_6_N003,37.50445821,-120.00785,POINT (-120.0078500311674 37.50445821040657)
CA,LOAD,MARTELL_6_N001,38.3691924,-120.7966926,POINT (-120.7966926317509 38.36919239614644)
CA,LOAD,MARTINEZ_1_N001,38.02,-122.16,POINT (-122.16 38.02)
